Language, Program, PowerLimit, PSys, Package, Core, GPU, DRAM, Time(ms), User Time, System Time, Temperature, Memory, Perf
C, spectral-norm, -1,  12.75, 8.48, 8.42, 0.00, 0.15, 305, 1219, 1219, 36.8, , 1
C++, binary-trees, -1,  32.80, 20.63, 20.31, 0.00, 1.02, 802, 2556, 139, 36.5, , 1
C++, binary-trees, -1,  36.46, 22.50, 22.12, 0.00, 1.14, 911, 3014, 136, 42.0, , 1
C++, binary-trees, -1,  37.61, 23.24, 22.84, 0.00, 1.22, 960, 3087, 216, 37.0, , 1
C++, binary-trees, -1,  37.20, 23.13, 22.72, 0.00, 1.24, 932, 3049, 188, 42.0, , 1
C++, binary-trees, -1,  32.35, 20.49, 20.18, 0.00, 1.00, 785, 2558, 94, 36.8, , 1
C++, binary-trees, -1,  35.72, 22.40, 22.06, 0.00, 1.04, 888, 2891, 168, 42.2, , 1
C++, binary-trees, -1,  37.24, 22.81, 22.42, 0.00, 1.19, 948, 3013, 209, 37.2, , 1
C++, binary-trees, -1,  38.12, 23.59, 23.19, 0.00, 1.21, 967, 3143, 227, 42.2, , 1
C++, binary-trees, -1,  34.92, 21.86, 21.51, 0.00, 1.03, 876, 2810, 168, 37.0, , 1
C++, binary-trees, -1,  36.92, 23.03, 22.65, 0.00, 1.14, 919, 3020, 195, 42.8, , 1
C++, binary-trees, -1,  34.60, 21.45, 21.10, 0.00, 1.04, 873, 2805, 139, 37.0, , 1
C++, binary-trees, -1,  37.36, 23.05, 22.67, 0.00, 1.20, 929, 3007, 207, 42.0, , 1
C++, binary-trees, -1,  35.02, 21.80, 21.44, 0.00, 1.04, 884, 2832, 161, 37.0, , 1
C++, binary-trees, -1,  34.83, 21.84, 21.48, 0.00, 1.03, 869, 2801, 164, 42.0, , 1
C++, binary-trees, -1,  36.82, 22.72, 22.32, 0.00, 1.16, 940, 3056, 196, 37.0, , 1
C++, binary-trees, -1,  32.64, 20.64, 20.33, 0.00, 0.99, 771, 2552, 86, 43.5, , 1
C++, binary-trees, -1,  35.75, 22.29, 21.93, 0.00, 1.04, 903, 2881, 190, 37.5, , 1
C++, binary-trees, -1,  38.56, 23.76, 23.35, 0.00, 1.24, 967, 3162, 213, 42.2, , 1
C++, binary-trees, -1,  33.64, 21.04, 20.71, 0.00, 1.04, 828, 2645, 143, 37.2, , 1
C++, binary-trees, -1,  35.05, 21.95, 21.61, 0.00, 1.03, 860, 2766, 176, 42.2, , 1
C++, fannkuch-redux, -1,  128.79, 79.07, 78.00, 0.00, 1.79, 3537, 14008, 1, 42.8, , 1
C++, fannkuch-redux, -1,  127.86, 78.80, 77.75, 0.00, 1.78, 3527, 13999, 0, 43.2, , 1
C++, fannkuch-redux, -1,  128.41, 79.01, 77.95, 0.00, 1.78, 3528, 14000, 14000, 43.2, , 1
C++, fannkuch-redux, -1,  128.30, 79.05, 77.98, 0.00, 1.78, 3536, 14005, 1, 43.0, , 1
C++, fannkuch-redux, -1,  128.37, 78.95, 77.90, 0.00, 1.78, 3527, 13997, 0, 44.0, , 1
C++, fannkuch-redux, -1,  127.98, 78.94, 77.87, 0.00, 1.78, 3527, 13996, 0, 43.8, , 1
C++, fannkuch-redux, -1,  128.15, 78.69, 77.63, 0.00, 1.77, 3524, 13987, 1, 44.0, , 1
C++, fannkuch-redux, -1,  128.94, 78.79, 77.72, 0.00, 1.78, 3528, 13996, 0, 44.0, , 1
C++, fannkuch-redux, -1,  128.33, 79.25, 78.18, 0.00, 1.78, 3528, 14002, 0, 44.0, , 1
C++, fannkuch-redux, -1,  128.26, 78.94, 77.89, 0.00, 1.78, 3526, 13998, 1, 44.2, , 1
C++, fannkuch-redux, -1,  128.38, 78.78, 77.73, 0.00, 1.78, 3527, 13999, 13999, 44.0, , 1
